cell ID:  0 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.53
cell ID:  2418 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2419 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.73
cell ID:  2420 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2421 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.64
cell ID:  2422 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.96
cell ID:  2423 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.86
cell ID:  2424 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.96
cell ID:  2425 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2426 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.8
cell ID:  2427 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.79
cell ID:  2428 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.95
cell ID:  2429 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.46
cell ID:  2430 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.39
cell ID:  2431 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2432 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2433 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  2434 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.66
cell ID:  2435 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  2436 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.47
cell ID:  2437 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.87
cell ID:  2438 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.86
cell ID:  2439 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.94
cell ID:  2440 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.65
cell ID:  2441 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.85
cell ID:  2442 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2443 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  2444 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.69
cell ID:  2445 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2446 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.45
cell ID:  2447 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.45
cell ID:  2448 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.76
cell ID:  2449 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.97
cell ID:  2450 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.87
cell ID:  2451 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  2452 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  2453 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.75
cell ID:  2454 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  2455 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.95
cell ID:  2456 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.58
cell ID:  2457 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.88
cell ID:  2458 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.71
cell ID:  2459 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.91
cell ID:  2460 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.9
cell ID:  2461 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2462 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.86
cell ID:  2463 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.77
cell ID:  2464 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  2465 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.75
cell ID:  2466 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.98
cell ID:  2467 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2468 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.94
cell ID:  2469 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.74
cell ID:  2470 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2471 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2472 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.58
cell ID:  2473 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2474 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.92
cell ID:  2475 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.93
cell ID:  2476 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.75
cell ID:  2477 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.8
cell ID:  2478 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.43
cell ID:  2479 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.76
cell ID:  2480 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.71
cell ID:  2481 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  2482 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.96
cell ID:  2483 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.65
cell ID:  2484 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.71
cell ID:  2485 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2486 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.81
cell ID:  2487 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.44
cell ID:  2488 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2489 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.66
cell ID:  2490 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.87
cell ID:  2491 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.94
cell ID:  2492 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.47
cell ID:  2493 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.95
cell ID:  2494 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.32
cell ID:  2495 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.84
cell ID:  2496 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.92
cell ID:  2497 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.91
cell ID:  2498 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.58
cell ID:  2499 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.49
cell ID:  2500 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.98
cell ID:  2501 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.53
cell ID:  2502 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.86
cell ID:  2503 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.39
cell ID:  2504 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.56
cell ID:  2505 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.89
cell ID:  2506 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.56
cell ID:  2507 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.32
cell ID:  2508 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.72
cell ID:  2509 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  2510 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.8
cell ID:  2511 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.28
cell ID:  2512 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.39
cell ID:  2513 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2514 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.9
cell ID:  2515 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.81
cell ID:  2516 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  2517 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.89
cell ID:  2518 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.6
cell ID:  2519 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.94
cell ID:  2520 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.47
cell ID:  2521 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.64
cell ID:  2522 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.67
cell ID:  2523 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Naive 	 	 probability: 0.54
cell ID:  2524 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.78
cell ID:  2525 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.92
cell ID:  2526 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  2527 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  2528 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.78
cell ID:  2529 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.94
cell ID:  2530 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.93
cell ID:  2531 	 	 real cell type: Platelets 	 	 predicted cell type: Platelets 	 	 probability: 0.46
cell ID:  2532 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.5
cell ID:  2533 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2534 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.88
cell ID:  2535 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.79
cell ID:  2536 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.43
cell ID:  2537 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.87
cell ID:  2538 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.53
cell ID:  2539 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.91
cell ID:  2540 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.26
cell ID:  2541 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.34
cell ID:  2542 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.76
cell ID:  2543 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
cell ID:  2544 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.91
cell ID:  2545 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.65
cell ID:  2546 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.92
cell ID:  2547 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.87
cell ID:  2548 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2549 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2550 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.93
cell ID:  2551 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.93
cell ID:  2552 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.97
cell ID:  2553 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.84
cell ID:  2554 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.83
cell ID:  2555 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.93
cell ID:  2556 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.31
cell ID:  2557 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.55
cell ID:  2558 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  2559 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.94
cell ID:  2560 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  2561 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.82
cell ID:  2562 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.84
cell ID:  2563 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.79
cell ID:  2564 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.3
cell ID:  2565 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  2566 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.35
cell ID:  2567 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.93
cell ID:  2568 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.4
cell ID:  2569 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  2570 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.72
cell ID:  2571 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  2572 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  2573 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.91
cell ID:  2574 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
cell ID:  2575 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.8
cell ID:  2576 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.43
cell ID:  2577 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.92
cell ID:  2578 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.7
cell ID:  2579 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.76
cell ID:  2580 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  2581 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.68
cell ID:  2582 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.82
cell ID:  2583 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.72
cell ID:  2584 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.46
cell ID:  2585 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.32
cell ID:  2586 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.98
cell ID:  2587 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2588 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.3
cell ID:  2589 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.88
cell ID:  2590 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.75
cell ID:  2591 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2592 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.96
cell ID:  2593 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.84
cell ID:  2594 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.85
cell ID:  2595 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.91
cell ID:  2596 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.32
cell ID:  2597 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  2598 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  2599 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.92
cell ID:  2600 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.41
cell ID:  2601 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.65
cell ID:  2602 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.87
cell ID:  2603 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.86
cell ID:  2604 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.86
cell ID:  2605 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.5
cell ID:  2606 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.71
cell ID:  2607 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.63
cell ID:  2608 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  2609 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.87
cell ID:  2610 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.64
cell ID:  2611 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.76
cell ID:  2612 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.82
cell ID:  2613 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.55
cell ID:  2614 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.29
cell ID:  2615 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.85
cell ID:  2616 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2617 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.64
cell ID:  2618 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  2619 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.65
cell ID:  2620 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.81
cell ID:  2621 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.84
cell ID:  2622 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.81
cell ID:  2623 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.74
cell ID:  2624 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.85
cell ID:  2625 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.77
cell ID:  2626 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.82
cell ID:  2627 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.72
cell ID:  2628 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.47
cell ID:  2629 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.85
cell ID:  2630 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  2631 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.92
cell ID:  2632 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.87
cell ID:  2633 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.38
cell ID:  2634 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.98
cell ID:  2635 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.8
cell ID:  2636 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.47
cell ID:  2637 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  2638 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  2639 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.83
cell ID:  2640 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  2641 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  2642 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  2643 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.92
cell ID:  2644 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.32
cell ID:  2645 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.42
cell ID:  2646 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.8
cell ID:  2647 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.88
cell ID:  2648 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  2649 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.76
cell ID:  2650 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.75
cell ID:  2651 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  2652 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.78
cell ID:  2653 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.72
cell ID:  2654 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.68
cell ID:  2655 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.91
cell ID:  2656 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.93
cell ID:  2657 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.79
